ID,Component ID,Image,Component Name,Mounting Type,Manufacturer,Manufacturer Part #,Manufacturer Link,Supplier,Supplier Part #,Supplier Link,Supplier Description,Component Notes,Quantity,Designator,Notes
1,15.4,,Motion Plane v0.4.0,Fastener,Seeed Studio,,,Octopi Team,ODS-MPSv0.4.0,https://github.com/ethanjli/octopi-driver-board/tree/ODS-MPSv0.4.0/Stacked/Motion%20Plane%20for%20Squid,Motion Plane v0.4.0 for Squid,,1,,
2,5,,"2x20 Female Header, Tall Stacking",PTH,Sullins Connector Solutions,PPPC202LFHN-M53 RC,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf,Pololu,2749,https://www.pololu.com/product/2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",Next version will replace with SMT headers.,3,"H1,H3,H2","The female side should be on the underside of the board, while the male pins should stick up."
3,16,,SilentStepStick Stepper Driver Board,Daughter Board,Trinamic,TMC2209,https://www.trinamic.com/support/eval-kits/details/silentstepstick/,Digi-Key,1460-1395-ND,https://www.digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC2209-SILENTSTEPSTICK/1460-1395-ND/10232488,TMC2209 STEPPER DRIVER BOARD,,4,"Driver 1,Driver 2,Driver 3,Driver 4","Solder the UART/PDN jumper pads on the board first! Then place on the male headers (short ends), confirm correct orientation, and solder."
4,17,,1x8 Female SMT Header,SMT,Sullins Connector Solutions,NPPC081KFXC-RC,https://www.sullinscorp.com/product/?pn=NPPC081KFXC-RC&toggle=in,Digi-Key,S5639-ND,https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC081KFXC-RC/S5639-ND/776098,CONN HDR 8POS 0.1 GOLD SMD,,8,"H4, H5, H6, H7, H8, H9, H10, H11",
5,9,,1X8 Male PTH Header,PTH,Pololu,965,https://www.pololu.com/product/965,Pololu,965,https://www.pololu.com/product/965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",Next version will replace with SMT header. Need to break off appropriate length of header.,8,"H4, H5, H6, H7, H8, H9, H10, H11",Break off appropriate length of header and insert long ends into the female headers.
6,18,,47uF Electrolytic Capacitor,SMT,Nichicon,UCD1E470MCL1GS,https://www.nichicon.co.jp/english/products/pdfs/e-ucd.pdf,Digi-Key,493-6385-1-ND,https://www.digikey.com/product-detail/en/nichicon/UCD1E470MCL1GS/493-6385-1-ND/3438899,CAP ALUM 47UF 20% 25V SMD,,4,"C1,C2,C3,C4",
7,19,,DC Power Jack,SMT,CUI Devices,PJ-037AH-SMT-TR,https://www.cuidevices.com/product/interconnect/connectors/dc-power-connectors/jacks/pj-037ah-smt-tr,Digi-Key,CP-037AHPJCT-ND,https://www.digikey.com/product-detail/en/cui-devices/PJ-037AH-SMT-TR/CP-037AHPJCT-ND/1530998,CONN PWR JACK 2X5.5MM SOLDER,,1,J5,
8,20,,Green Indicator LED,SMT,Everlight Electronics,17-21SYGC/S530-E2/TR8,http://www.everlight.com/SeriationProduct.aspx?Seq=04c91a6b-2405-e411-8b3b-0002a54e500f,Digi-Key,1080-1500-1-ND,https://www.digikey.com/product-detail/en/everlight-electronics-co-ltd/17-21SYGC-S530-E2-TR8/1080-1500-1-ND/7707772,LED YELLOW/GREEN CLEAR 0805 SMD,,2,"LED1,LED2",
9,21,,1K 1206 Resistor,SMT,Yageo,RC1206FR-071KL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-1.00KFRCT-ND,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-071KL/311-1-00KFRCT-ND/731334,RES SMD 1K OHM 1% 1/4W 1206,,2,"R1,R3",
10,22,,100 1206 Resistor,SMT,Yageo,RC1206FR-07100RL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-100FRCT-ND,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-07100RL/311-100FRCT-ND/731438,RES SMD 100 OHM 1% 1/4W 1206,,1,R2,
11,30,,1x4 Feed-Through Header,SMT,Phoenix Contact,1814935,https://www.phoenixcontact.com/online/portal/us?uri=pxc-oc-itemdetail:pid=1814935&library=usen&tab=1,Digi-Key,277-9965-1-ND	,https://www.digikey.com/product-detail/en/phoenix-contact/1814935/277-9965-1-ND/4696094,CONN HEADER 4POS 2.5MM SMD,,4,"J1,J2,J3,J4",
12,25,,1x6 1.5mm Pitch Right-Angle Header,SMT,JST,S6B-ZR-SM4A-TF(LF)(SN),http://www.jst-mfg.com/product/detail_e.php?series=287,Digi-Key,455-1610-1-ND,https://www.digikey.com/product-detail/en/jst-sales-america-inc/S6B-ZR-SM4A-TF-LF-SN/455-1610-1-ND/858041,CONN HEADER SMD R/A 6POS 1.5MM,,4,"J7,J8,J9,J10",
13,26,,1x4 KK 254 Male Header,PTH,Molex,22292041,https://www.molex.com/molex/products/part-detail/pcb_headers/0022292041,Digi-Key,WM2746-ND,https://www.digikey.com/product-detail/en/molex/0022292041/WM2746-ND/1130590,CONN HEADER VERT 4POS 2.54MM,SMT equivalent does not exist.,1,J11,Solder so that the plastic tab is closer to the outer perimeter of the board.
14,27,,6-Bit Buffer,SMT,Nexperia,"74LVC07AD,118",https://www.nexperia.com/products/analog-logic-ics/asynchronous-interface-logic/buffers-inverters-drivers/74LVC07AD.html,Digi-Key,1727-3089-1-ND,https://www.digikey.com/product-detail/en/nexperia-usa-inc/74LVC07AD-118/1727-3089-1-ND/946746,IC BUFFER NON-INVERT 5.5V 14SO,"Need to read with INPUT_PULLUP pins. Supply Vcc with the input voltage level (5V), from the connector.",2,"U2,U3",
15,44,,1x8 1.5mm Pitch Right-Angle Header,SMT,Molex,5040500891,https://www.molex.com/molex/products/part-detail/pcb_headers/5040500891,Digi-Key,WM14421CT-ND,https://www.digikey.com/en/products/detail/molex/5040500891/4693487,CONN HEADER SMD R/A 8POS 1.5MM,,1,J12,On the underside of the board.
16,45,,1x6 1.5mm Pitch Right-Angle Header,SMT,Molex,5040500691,https://www.molex.com/molex/products/part-detail/pcb_headers/5040500691,Digi-Key,WM10143CT-ND,https://www.digikey.com/en/products/detail/5040500691/WM10143CT-ND/4357143,CONN HEADER SMD R/A 6POS 1.5MM,,1,J13,On the underside of the board.
17,33,,4.7K 0805 Resistor,SMT,Yageo,RC0805FR-074K7L,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-4.70KCRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929,RES SMD 4.7K OHM 1% 1/8W 0805,,12,"R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15",On the underside of the board.
