Designator,Quantity,Supplier Link,BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,Footprint,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
"H1,H3,H2",3,https://www.pololu.com/product/2749,2,5,,"2x20 Female Header, Tall Stacking",Sullins Connector Solutions,PPPC202LFHN-M53 RC,2x20POS,Pololu,2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",PTH,"The female side should be on the underside of the board, while the male pins should stick up."
"H4, H5, H6, H7, H8, H9, H10, H11",8,https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC081KFXC-RC/S5639-ND/776098,4,17,,1x8 Female SMT Header,Sullins Connector Solutions,NPPC081KFXC-RC,1x8POS,Digi-Key,S5639-ND,CONN HDR 8POS 0.1 GOLD SMD,SMT,
"C1,C2,C3,C4",4,https://www.digikey.com/product-detail/en/nichicon/UCD1E470MCL1GS/493-6385-1-ND/3438899,6,18,,47uF Electrolytic Capacitor,Nichicon,UCD1E470MCL1GS,6.6mmx6.6mm,Digi-Key,493-6385-1-ND,CAP ALUM 47UF 20% 25V SMD,SMT,
J5,1,https://www.digikey.com/product-detail/en/cui-devices/PJ-037AH-SMT-TR/CP-037AHPJCT-ND/1530998,7,19,,DC Power Jack,CUI Devices,PJ-037AH-SMT-TR,SMT,Digi-Key,CP-037AHPJCT-ND,CONN PWR JACK 2X5.5MM SOLDER,SMT,
"LED1,LED2",2,https://www.digikey.com/product-detail/en/everlight-electronics-co-ltd/17-21SYGC-S530-E2-TR8/1080-1500-1-ND/7707772,8,20,,Green Indicator LED,Everlight Electronics,17-21SYGC/S530-E2/TR8,805,Digi-Key,1080-1500-1-ND,LED YELLOW/GREEN CLEAR 0805 SMD,SMT,
"R1,R3",2,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-071KL/311-1-00KFRCT-ND/731334,9,21,,1K 1206 Resistor,Yageo,RC1206FR-071KL,1206,Digi-Key,311-1.00KFRCT-ND,RES SMD 1K OHM 1% 1/4W 1206,SMT,
R2,1,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-07100RL/311-100FRCT-ND/731438,10,22,,100 1206 Resistor,Yageo,RC1206FR-07100RL,1206,Digi-Key,311-100FRCT-ND,RES SMD 100 OHM 1% 1/4W 1206,SMT,
"J1,J2,J3,J4",4,https://www.digikey.com/product-detail/en/phoenix-contact/1814935/277-9965-1-ND/4696094,11,30,,1x4 Feed-Through Header,Phoenix Contact,1814935,1x4POS,Digi-Key,277-9965-1-ND	,CONN HEADER 4POS 2.5MM SMD,SMT,
"J7,J8,J9,J10",4,https://www.digikey.com/product-detail/en/jst-sales-america-inc/S6B-ZR-SM4A-TF-LF-SN/455-1610-1-ND/858041,12,25,,1x6 1.5mm Pitch Right-Angle Header,JST,S6B-ZR-SM4A-TF(LF)(SN),1x6POS,Digi-Key,455-1610-1-ND,CONN HEADER SMD R/A 6POS 1.5MM,SMT,
J11,1,https://www.digikey.com/product-detail/en/molex/0022292041/WM2746-ND/1130590,13,26,,1x4 KK 254 Male Header,Molex,22292041,1x4POS,Digi-Key,WM2746-ND,CONN HEADER VERT 4POS 2.54MM,PTH,Solder so that the plastic tab is closer to the outer perimeter of the board.
"U2,U3",2,https://www.digikey.com/product-detail/en/nexperia-usa-inc/74LVC07AD-118/1727-3089-1-ND/946746,14,27,,6-Bit Buffer,Nexperia,"74LVC07AD,118",14-SOIC,Digi-Key,1727-3089-1-ND,IC BUFFER NON-INVERT 5.5V 14SO,SMT,
J12,1,https://www.digikey.com/en/products/detail/molex/5040500891/4693487,15,44,,1x8 1.5mm Pitch Right-Angle Header,Molex,5040500891,1x8POS,Digi-Key,WM14421CT-ND,CONN HEADER SMD R/A 8POS 1.5MM,SMT,On the underside of the board.
J13,1,https://www.digikey.com/en/products/detail/5040500691/WM10143CT-ND/4357143,16,45,,1x6 1.5mm Pitch Right-Angle Header,Molex,5040500691,1x6POS,Digi-Key,WM10143CT-ND,CONN HEADER SMD R/A 6POS 1.5MM,SMT,On the underside of the board.
"R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15",12,https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929,17,33,,4.7K 0805 Resistor,Yageo,RC0805FR-074K7L,805,Digi-Key,311-4.70KCRCT-ND,RES SMD 4.7K OHM 1% 1/8W 0805,SMT,On the underside of the board.
