Designator,Quantity,Supplier Link,BOM ID,Component ID,Image,Component Name,Manufacturer,Manufacturer Part #,In OPL?,Footprint,Supplier,Supplier Part #,Supplier Description,Mounting Type,Notes
"H1,H3,H2",3,https://www.pololu.com/product/2749,2,5,,"2x20 Female Header, Tall Stacking",Sullins Connector Solutions,PPPC202LFHN-M53 RC,Yes,2x20POS,Pololu,2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",PTH,"The female side should be on the underside of the board, while the male pins should stick up."
SPI,1,https://www.pololu.com/product/1023,4,7,,2x3 Female PTH Header,Pololu,1023,Yes,2x3POS,Pololu,1023,"0.100"" (2.54 mm) Female Header: 2x3-Pin, Straight",PTH,"The female side should be on the top side of the board, while the male pins should stick down."
DUE1,1,https://www.pololu.com/product/965,5,8,,1X10 Male PTH Header,Pololu,965,Yes,1x10POS,Pololu,965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",PTH,
"DUE2, DUE3, DUE5, DUE6, DUE7",5,https://www.pololu.com/product/965,6,9,,1X8 Male PTH Header,Pololu,965,Yes,1x8POS,Pololu,965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",PTH,
DUE4,1,https://www.pololu.com/product/966,7,10,,2x18 Male PTH Header,Pololu,966,Yes,2x18POS,Pololu,966,"0.100"" (2.54 mm) Breakaway Male Header: 2×40-Pin, Straight",PTH,
J1,1,https://www.digikey.com/en/products/detail/molex/5040500891/4693487,12,44,,1x8 1.5mm Pitch Right-Angle Header,Molex,5040500891,Yes,1x12POS,Digi-Key,WM14421CT-ND,CONN HEADER SMD R/A 8POS 1.5MM,SMT,
"J2,J6",2,https://www.digikey.com/en/products/detail/5040500691/WM10143CT-ND/4357143,13,45,,1x6 1.5mm Pitch Right-Angle Header,Molex,5040500691,Yes,1x4POS,Digi-Key,WM10143CT-ND,CONN HEADER SMD R/A 6POS 1.5MM,SMT,
"J7,J8,J9,J10",4,https://www.digikey.com/en/products/detail/phoenix-contact/1814663/4452958,15,46,,1x5 Spring Clamp Terminal Block,Phoenix Contact,1814663,Yes,1x5POS,Digi-Key,277-10065-1-ND,TERM BLOCK 5POS,SMT,
"U1,U2",2,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV1T34DBVR/4555575,17,47,,SOT-23 Non-Inverting Buffer,Texas Instruments,SN74LV1T34DBVR,Yes,SOT-23-5,Digi-Key,296-37176-1-ND,IC BUF NON-INVERT 5.5V SOT23-5,SMT,
"R1,R2",2,https://www.digikey.com/en/products/detail/yageo/RC0603JR-0768RL/726821,18,48,,68 Ohm 0603 Resistor,Yageo,RC0603JR-0768RL,Yes,603,Digi-Key,311-68GRCT-ND,RES SMD 68 OHM 5% 1/10W 0603,SMT,
