ID,Component ID,Image,Component Name,Mounting Type,Manufacturer,Manufacturer Part #,Manufacturer Link,Supplier,Supplier Part #,Supplier Link,Supplier Description,ShenZhen OPL MPN,Component Notes,Quantity,EasyEDA BOM ID,Designator,Notes
1,15,,Motion Plane v0.1.0,Fastener,Seeed Studio,,,Octopi Team,ODS-MPSv0.1.0,https://github.com/ethanjli/octopi-driver-board/tree/ODS-MPSv0.1.0/Stacked/Motion%20Plane%20for%20Squid,Motion Plane v0.1.0 for Squid,,,1,N/A,,
2,5,,"2x20 Female Header, Tall Stacking",PTH,Sullins Connector Solutions,PPPC202LFHN-M53 RC,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf,Pololu,2749,https://www.pololu.com/product/2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",,Next version will replace with SMT headers.,3,6,"C1,C3,C2","The female side should be on the underside of the board, while the male pins should stick up."
3,16,,SilentStepStick Stepper Driver Board,Daughter Board,Trinamic,TMC2209,https://www.trinamic.com/support/eval-kits/details/silentstepstick/,Digi-Key,1460-1395-ND,https://www.digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC2209-SILENTSTEPSTICK/1460-1395-ND/10232488,TMC2209 STEPPER DRIVER BOARD,,,4,N/A,"Driver 1,Driver 2,Driver 3,Driver 4","Solder the UART/PDN jumper pads on the board first! Then place on the male headers (short ends), confirm correct orientation, and solder."
4,17,,1x8 Female Header,SMT,Sullins Connector Solutions,NPPC081KFXC-RC,https://www.sullinscorp.com/product/?pn=NPPC081KFXC-RC&toggle=in,Digi-Key,S5639-ND,https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC081KFXC-RC/S5639-ND/776098,CONN HDR 8POS 0.1 GOLD SMD,,,8,8,"H4, H5, H6, H7, H8, H9, H10, H11",
5,9,,1X8 Male Header,PTH,Pololu,965,https://www.pololu.com/product/965,Pololu,965,https://www.pololu.com/product/965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",,Next version will replace with SMT header. Need to break off appropriate length of header.,8,N/A,"H4, H5, H6, H7, H8, H9, H10, H11",Break of appropriate length of header and insert long ends into the female headers.
6,18,,100uF Electrolytic Capacitor,SMT,Nichicon,UCD1E470MCL1GS,https://www.nichicon.co.jp/english/products/pdfs/e-ucd.pdf,Digi-Key,493-6385-1-ND,https://www.digikey.com/product-detail/en/nichicon/UCD1E470MCL1GS/493-6385-1-ND/3438899,CAP ALUM 47UF 20% 25V SMD,UCD1E470MCL1GS,,4,11,"C1,C2,C3,C4",Confirm correct orientation.
7,19,,DC Power Jack,SMT,CUI Devices,PJ-037AH-SMT-TR,https://www.cuidevices.com/product/interconnect/connectors/dc-power-connectors/jacks/pj-037ah-smt-tr,Digi-Key,CP-037AHPJCT-ND,https://www.digikey.com/product-detail/en/cui-devices/PJ-037AH-SMT-TR/CP-037AHPJCT-ND/1530998,CONN PWR JACK 2X5.5MM SOLDER,,,1,5,J5,"Solder the SMT pads first, then solder the PTH pins."
8,20,,Green Indicator LED,SMT,Everlight Electronics,17-21SYGC/S530-E2/TR8,http://www.everlight.com/SeriationProduct.aspx?Seq=04c91a6b-2405-e411-8b3b-0002a54e500f,Digi-Key,1080-1500-1-ND,https://www.digikey.com/product-detail/en/everlight-electronics-co-ltd/17-21SYGC-S530-E2-TR8/1080-1500-1-ND/7707772,LED YELLOW/GREEN CLEAR 0805 SMD,17-21SYGC/S530-E2/TR8,,2,12,"LED1,LED2",Confirm correct orientation.
9,21,,1K Resistor,SMT,Yageo,RC1206FR-071KL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-1.00KFRCT-ND,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-071KL/311-1-00KFRCT-ND/731334,RES SMD 1K OHM 1% 1/4W 1206,RC1206JR-071KL,,2,9,"R1,R3",
10,22,,100 Resistor,SMT,Yageo,RC1206FR-07100RL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-100FRCT-ND,https://www.digikey.com/product-detail/en/%E5%9E%88-%C3%A1/RC1206FR-07100RL/311-100FRCT-ND/731438,RES SMD 100 OHM 1% 1/4W 1206,RC1206JR-07100RL,,1,13,R2,
