ID,Component ID,Image,Component Name,Mounting Type,Manufacturer,Manufacturer Part #,Manufacturer Link,Supplier,Supplier Part #,Supplier Link,Supplier Description,ShenZhen OPL MPN,Component Notes,Quantity,EasyEDA BOM ID,Designator,Notes
1,1.1,,Processing Plane v0.1.1,Fastener,Seeed Studio,,,Octopi Team,ODS-PPDv0.1.1,https://github.com/ethanjli/octopi-driver-board/tree/ODS-PPDv0.1.1/Stacked/Processing%20Planee,Processing Plane v0.1.1 for Due,,,1,N/A,,
2,5,,"2x20 Female Header, Tall Stacking",PTH,Sullins Connector Solutions,PPPC202LFHN-M53 RC,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf,Pololu,2749,https://www.pololu.com/product/2749,"Stackable 0.100″ Female Header with Extra 0.3″ Spacer: 2x20-Pin, Straight",,Next version will replace with SMT headers.,3,2,"C1,C3,C2","The female side should be on the underside of the board, while the male pins should stick up. Legs on C1 and C2 may need to be snipped for the Arduino Due to fit in."
3,6,,Arduino Due,Daughter Board,Arduino,A000062,https://store.arduino.cc/usa/due,Digi-Key,1050-1049-ND,https://www.digikey.com/product-detail/en/arduino/A000062/1050-1049-ND/3712582,ARDUINO DUE ATSAM3X8E EVAL BRD,,,1,4,DUE,The Arduino Due should be upside-down over the processing plane.
4,7,,2x3 Female Header,PTH,Pololu,1023,https://www.pololu.com/product/1023,Pololu,1023,https://www.pololu.com/product/1023,"0.100"" (2.54 mm) Female Header: 2x3-Pin, Straight",,Next version will replace with SMT header.,1,N/A,SPI,Solder with the long side of the header plugged into the Arduino Due.
5,8,,1X10 Male Header,PTH,Pololu,965,https://www.pololu.com/product/965,Pololu,965,https://www.pololu.com/product/965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",,Next version will replace with SMT header. Need to break off appropriate length of header.,1,N/A,,Solder with the long side of the header plugged into the Arduino Due.
6,9,,1X8 Male Header,PTH,Pololu,965,https://www.pololu.com/product/965,Pololu,965,https://www.pololu.com/product/965,"0.100"" (2.54 mm) Breakaway Male Header: 1×40-Pin, Straight, Black",,Next version will replace with SMT header. Need to break off appropriate length of header.,5,N/A,,Solder with the long side of the header plugged into the Arduino Due.
7,10,,2x18 Male Header,PTH,Pololu,966,https://www.pololu.com/product/966,Pololu,966,https://www.pololu.com/product/966,"0.100"" (2.54 mm) Breakaway Male Header: 2×40-Pin, Straight",,Next version will replace with SMT header. Need to break off appropriate length of header.,1,N/A,,Solder with the long side of the header plugged into the Arduino Due.
8,11,,Jetson Nano Carrier Board,Daughter Board,NVIDIA,N/A,https://developer.nvidia.com/embedded/jetson-nano-developer-kit,Digi-Key,1597-1732-ND,https://www.digikey.com/products/en?mpart=102110268&v=1597,NVIDIA JETSON NANO DEVELOPER KIT,,,1,1,JETSON,The Jetson Nano Carrier Board should be oriented such that its ports come out in the same direction as the Arduino Due's USB ports.
9,2,,Tall M2.5 Standoffs,Fastener,Pololu,1953,https://www.pololu.com/product/1953,Pololu,1953,https://www.pololu.com/product/1953,"Aluminum Standoff for Raspberry Pi: 18.6mm Length, 6mm M2.5 Thread, M-F (4-Pack)",,,4,N/A,,Use for mounting the Jetson Nano Carrier Board. Place threaded section into the mounting holes on the processing plane PCB.
10,4,,M2.5 Standoff Nuts,Fastener,Pololu,1967,https://www.pololu.com/product/1967,Pololu,1967,https://www.pololu.com/product/1967,Machine Hex Nut: M2.5 (25-pack),,,4,N/A,,Use for mounting the Jetson Nano Carrier Board. Use to fasten the standoffs to the PCB.
11,3,,M2.5 Standoff Screws,Fastener,Pololu,1968,https://www.pololu.com/product/1968,Pololu,1968,https://www.pololu.com/product/1968,"Machine Screw: M2.5, 6mm Length, Phillips (25-pack)",,,4,N/A,,Use for mounting the Jetson Nano Carrier Board. Use to fasten the Jetson Nano Carrier Board to the standoffs.
12,12,,"AMP Mini CT Right-Angle Header, 16 position",SMT,TE Connectivity,1-292228-6,https://www.te.com/usa-en/product-1-292228-6.html,Master Electronics,1-292228-6,https://www.masterelectronics.com/te-connectivity-amp-brand/12922286-10181019.html,CONN HEADER SMD R/A 16POS 1.5MM,,"This version has no boss, but the 1-292227-6 version has a boss for alignment and is available on Digikey. The next version will add holes for the boss so we can use 1-292228-6.",1,3,C4,"First solder the pads on the side, then solder the SMT pins."
13,13,,1x4 Male Right-Angle Header,SMT,Harwin,M20-8890445,https://www.harwin.com/products/M20-8890445R/,Digi-Key,952-3233-ND,https://www.digikey.com/product-detail/en/harwin-inc/M20-8890445/952-3233-ND/6565717,CONN HEADER SMD R/A 4POS 2.54MM,,,3,5,"J1,J2,J3",The long flat side should stick outwards.
14,14,,1x6 Male Right-Angle Header,SMT,Harwin,M20-8890645,https://www.harwin.com/products/M20-8890645R/,Digi-Key,952-3235-ND,https://www.digikey.com/product-detail/en/harwin-inc/M20-8890645/952-3235-ND/6565719,CONN HEADER SMD R/A 6POS 2.54MM,,,2,6,"J4,J5",The long flat side should stick outwards.
15,29,,USB Micro B Cable,,,,,,,,,,,1,N/A,,Connect between the Arduino Due's Native USB port and the Jetson Nano Carrier Board.
